,sku,description,url,price,UPC,keyword
486,433hd12,"Durable Packaging HD-12 Heavy Weight Interfolded Deli Sheets 12"" x 10 3/4"" - 6000/Case",https://www.webstaurantstore.com/durable-packaging-hd-12-heavy-weight-interfolded-deli-sheets-12-x-10-3-4-case/433HD12.html,From $66.83/Case,best,disposable-food-packaging-supplies
487,322up4904,"Noble Products 3"" Product Date Round Removable Label with Dispenser Carton - 500/Roll",https://www.webstaurantstore.com/noble-products-3-product-date-round-removable-label-with-dispenser-carton-roll/322UP4904.html,From $5.70/Roll,400010069514,disposable-food-packaging-supplies
488,433gc15,"Durable Packaging 15"" x 10 3/4"" Green Choice Interfolded Kraft Unbleached Brown Soy Wax Deli Sheets",https://www.webstaurantstore.com/durable-packaging-15-x-10-3-4-green-choice-interfolded-kraft-unbleached-brown-soy-wax-deli-sheets/433GC15.html,From $9.99/Box,074729800159,disposable-food-packaging-supplies
489,130pb1015,"Inteplast Group PHNONP15NS 10"" x 15"" Plastic Side Print Produce Bag on a Roll - 4/Case",https://www.webstaurantstore.com/inteplast-group-phnonp15ns-10-x-15-plastic-side-print-produce-bag-on-a-roll-case/130PB1015.html,From $38.87/Case,00762935016548,disposable-food-packaging-supplies
490,375pgt1212w,"GET P-GT-1212-W 12"" x 12"" White Typography Deli Sandwich Wrap Paper - 1000/Case",https://www.webstaurantstore.com/get-p-gt-1212-w-12-x-12-white-typography-deli-sandwich-wrap-paper-case/375PGT1212W.html,From $60.12/Case,015845394610,disposable-food-packaging-supplies
491,1300609lpt,"Choice 6"" x 9"" 1.6 Mil Polypropylene Lip and Tape Resealable Bag - 1000/Case",https://www.webstaurantstore.com/choice-6-x-9-plastic-lip-and-tape-resealable-bag-case/1300609LPT.html,From $21.23/Case,,disposable-food-packaging-supplies
492,130f21012g  250,"10"" x 12"" Standard Weight One Gallon Seal Top Bags - 250/Case",https://www.webstaurantstore.com/12-x-10-standard-weight-1-gallon-seal-top-bag-case/130F21012G%20%20250.html,From $16.49/Case,654866022258,disposable-food-packaging-supplies
493,1300406lpt,"Choice 4 3/8"" x 5 3/4"" 1.6 Mil Polypropylene Lip and Tape Resealable Bag - 1000/Case",https://www.webstaurantstore.com/choice-4-3-8-x-5-3-4-plastic-lip-and-tape-resealable-bag-case/1300406LPT.html,From $10.74/Case,,disposable-food-packaging-supplies
494,181ppr5kit,"Garde 5"" Perforated Round Patty Paper - 5000/Case",https://www.webstaurantstore.com/garde-5-perforated-round-patty-paper-case/181PPR5KIT.html,From $64.49/Case,,disposable-food-packaging-supplies
495,322ul4001,"Noble Products 2"" x 4"" Removable Product Day Label - 500/Roll",https://www.webstaurantstore.com/noble-products-2-x-4-removable-product-day-label-roll/322UL4001.html,From $5.74/Roll,018291991396,disposable-food-packaging-supplies
496,795bx953frd,"9"" x 5"" x 3"" Red Plaid / Dot Take-Out Lunch / Chicken Box with Fast Top - 250/Case",https://www.webstaurantstore.com/9-x-5-x-3-red-plaid-take-out-lunch-chicken-box-with-fast-top-case/795BX953FRD.html,$63.49/Case,017779035157,disposable-food-packaging-supplies
497,100btwine,#24 Gauge Butcher Sausage Twine 2 lb. Spool,https://www.webstaurantstore.com/24-gauge-butcher-sausage-twine-2-lb-spool/100BTWINE.html,From $7.63/Each,073785302423,disposable-food-packaging-supplies
498,130g16143015,"Choice 16"" x 14"" x 30"" 1.5 Mil Clear Gusseted Polyethylene Bag - 500/Case",https://www.webstaurantstore.com/choice-16-x-14-x-30-1-5-mil-clear-gusseted-polyethylene-bag-case/130G16143015.html,From $111.31/Case,,disposable-food-packaging-supplies
499,99974557,"Solut 74557 17"" Take and Bake Coated Paperboard Black Oven Safe Pizza Tray - 10/Pack",https://www.webstaurantstore.com/solut-74557-17-take-and-bake-pizza-tray-coated-corrugated-black-pack/99974557.html,$8.79/Pack,10856322001754,disposable-food-packaging-supplies
500,4331lbcbwwh,1 lb. White Customizable Tin Tie Cookie / Coffee / Donut Bag with Window - 1000/Case,https://www.webstaurantstore.com/1-lb-white-customizable-tin-tie-coffee-bag-with-window-case/4331LBCBWWH.html,From $129.79/Case,696241213219,disposable-food-packaging-supplies
501,245cpb12eco,"GreenBox 12"" x 12"" x 1 3/4"" Corrugated Recycled Pizza Box with Built-In Plates and Storage Container - 50/Bundle",https://www.webstaurantstore.com/greenbox-12-x-12-x-1-3-4-corrugated-recycled-pizza-box-with-built-in-plates-and-storage-container-bundle/245CPB12ECO.html,$25.99/Bundle,814582020017,disposable-food-packaging-supplies
502,150rmb1000cl,"Royal Paper RMB1000CL 24"" Clear Plastic Mesh Produce / Seafood Bag - 1000/Case",https://www.webstaurantstore.com/royal-paper-rmb1000cl-24-clear-plastic-mesh-produce-seafood-bag-case/150RMB1000CL.html,From $71.28/Case,072288121432,disposable-food-packaging-supplies
503,130pp0304l,"Choice 3"" x 4"" Clear Polypropylene Layflat Bag with 1.5 Mil Thickness - 1000/Case",https://www.webstaurantstore.com/choice-3-x-4-clear-polypropylene-layflat-bag-with-1-5-mil-thickness-case/130PP0304L.html,From $4.27/Case,,disposable-food-packaging-supplies
504,322uf4911,"Noble Products 3"" Use First Removable Round Label with Dispenser Carton - 500/Roll",https://www.webstaurantstore.com/noble-products-3-use-first-removable-round-label-with-dispenser-carton-roll/322UF4911.html,From $5.91/Roll,,disposable-food-packaging-supplies
